Match Day,Season,Home,Away,Competition,Home Goals,Away Goals,Winner
101,2021/22,Fiorentina,Cosenza,Coppa Italia,4,0,
1,2021/22,Roma,Fiorentina,Serie A,3,1,
2,2021/22,Fiorentina,Torino,Serie A,2,1,
3,2021/22,Atalanta,Fiorentina,Serie A,1,2,
4,2021/22,Genoa,Fiorentina,Serie A,1,2,
5,2021/22,Fiorentina,Inter,Serie A,1,3,
6,2021/22,Udinese,Fiorentina,Serie A,0,1,
7,2021/22,Fiorentina,Napoli,Serie A,1,2,
8,2021/22,Venezia,Fiorentina,Serie A,1,0,
9,2021/22,Fiorentina,Cagliari,Serie A,3,0,
10,2021/22,Lazio,Fiorentina,Serie A,1,0,
11,2021/22,Fiorentina,Spezia,Serie A,3,0,
12,2021/22,Juventus,Fiorentina,Serie A,1,0,
13,2021/22,Fiorentina,Milan,Serie A,4,3,
14,2021/22,Empoli,Fiorentina,Serie A,2,1,
15,2021/22,Fiorentina,Sampdoria,Serie A,3,1,
16,2021/22,Bologna,Fiorentina,Serie A,2,3,
17,2021/22,Fiorentina,Salernitana,Serie A,4,0,
102,2021/22,Fiorentina,Benevento,Coppa Italia,2,1,
18,2021/22,Fiorentina,Sassuolo,Serie A,2,2,
19,2021/22,Verona,Fiorentina,Serie A,1,1,
20,2021/22,Torino,Fiorentina,Serie A,4,0,
103,2021/22,Napoli,Fiorentina,Coppa Italia,2,5,
21,2021/22,Fiorentina,Genoa,Serie A,6,0,
22,2021/22,Cagliari,Fiorentina,Serie A,1,1,
23,2021/22,Fiorentina,Lazio,Serie A,0,3,
104,2021/22,Atalanta,Fiorentina,Coppa Italia,2,3,
24,2021/22,Spezia,Fiorentina,Serie A,1,2,
25,2021/22,Fiorentina,Atalanta,Serie A,1,0,
26,2021/22,Sassuolo,Fiorentina,Serie A,2,1,
105,2021/22,Fiorentina,Juventus,Coppa Italia,1,0,
27,2021/22,Fiorentina,Verona,Serie A,1,1,
28,2021/22,Fiorentina,Bologna,Serie A,1,0,
29,2021/22,Inter,Fiorentina,Serie A,1,1,
30,2021/22,Fiorentina,Empoli,Serie A,1,0,
31,2021/22,Napoli,Fiorentina,Serie A,2,3,
32,2021/22,Fiorentina,Venezia,Serie A,1,0,
106,2021/22,Juventus,Fiorentina,Coppa Italia,2,0,
33,2021/22,Salernitana,Fiorentina,Serie A,2,1,
34,2021/22,Fiorentina,Udinese,Serie A,4,0,
35,2021/22,Milan,Fiorentina,Serie A,1,0,
36,2021/22,Fiorentina,Roma,Serie A,2,0,
37,2021/22,Sampdoria,Fiorentina,Serie A,4,1,
38,2021/22,Fiorentina,Juventus,Serie A,2,0,
1,2022/23,Fiorentina,Cremonese,Serie A,3,2,
201,2022/23,Fiorentina,Twente,UECL,2,1,
2,2022/23,Empoli,Fiorentina,Serie A,0,0,
202,2022/23,Twente,Fiorentina,UECL,0,0,
3,2022/23,Fiorentina,Napoli,Serie A,0,0,
4,2022/23,Udinese,Fiorentina,Serie A,1,0,
5,2022/23,Fiorentina,Juventus,Serie A,1,1,
203,2022/23,Fiorentina,Riga,UECL,1,1,
6,2022/23,Bologna,Fiorentina,Serie A,2,1,
204,2022/23,Basaksehir,Fiorentina,UECL,3,0,
7,2022/23,Fiorentina,Verona,Serie A,2,0,
8,2022/23,Atalanta,Fiorentina,Serie A,1,0,
205,2022/23,Heart,Fiorentina,UECL,0,3,
9,2022/23,Fiorentina,Lazio,Serie A,0,4,
206,2022/23,Fiorentina,Heart,UECL,5,1,
10,2022/23,Lecce,Fiorentina,Serie A,1,1,
